id,nombre,municipio_id,nombre_municipio,longitud,latitud,tipo
1,Biblioteca del Centro de Maestros de Chiautla de Tapia,28,Chiautla,-98.88279,19.54944,biblioteca
2,Biblioteca Cristina Payán,33,Ecatepec de Morelos,-99.03569,19.6003,biblioteca
3,"Biblioteca del Centro de Enseñanza, Inv. y Ext. en Producción Porcina",45,Jilotepec,-99.5104,19.95739,biblioteca
4,Biblioteca campus Lomas Verdes,57,Naucalpan de Juárez,-99.26304,19.5071,biblioteca
5,"Biblioteca de la Escuela Superior de Ingeniería y Arquitectura (ESIA), Unidad Tecamachalco",57,Naucalpan de Juárez,-99.22955,19.43019,biblioteca
6,Centro de Información y Documentación de la FES Acatlán,57,Naucalpan de Juárez,-99.24619,19.48367,biblioteca
7,Biblioteca de la Universidad Tecnológica de Nezahualcoyotl,58,Nezahualcóyotl,-98.98802,19.40425,biblioteca
8,Biblioteca Jesús Reyes Heroles de la FES Aragón,58,Nezahualcóyotl,-99.04538,19.47532,biblioteca
9,Centro de Información y Documentación de Nezahualcóyotl,58,Nezahualcóyotl,-99.01064,19.40419,biblioteca
10,Biblioteca de la Universidad Intercultural del Estado de México,74,San Felipe del Progreso,-99.94008,19.7146,biblioteca
11,Biblioteca de la Universidad Politécnica de Tecámac,81,Tecámac,-98.97753,19.71413,biblioteca
12,Biblioteca del Centro de Estudios Teotihuacanos,92,Teotihuacán,-98.83389,19.69106,biblioteca
13,Biblioteca Pablo Ignacio Martínez del Río,95,Tepotzotlán,-99.22138,19.71296,biblioteca
14,Biblioteca de la Universidad Politécnica de Texcoco,99,Texcoco,-98.89945,19.45067,biblioteca
15,Unidad de Documentación Científica de la FES Iztacala,104,Tlalnepantla de Baz,-99.18951,19.52445,biblioteca
16,Biblioteca del Museo Leopoldo Flores,106,Toluca,-99.67828,19.2865,biblioteca
17,Biblioteca de la Casa de la Cultura Jurídica José María Lozano,106,Toluca,-99.63951,19.28979,biblioteca
18,"Biblioteca Felipe Montemayor García, Centro INAH Estado de México",106,Toluca,-99.66009,19.29048,biblioteca
19,Biblioteca Lic. César Camacho Quiroz,106,Toluca,-99.67838,19.28136,biblioteca
20,Centro de Información y Documentación de la UPVM,109,Tultitlán,-99.127,19.64339,biblioteca
21,Biblioteca del Centro de Información Juan Francisco Ealy Ortiz,110,Valle de Bravo,-100.1319,19.23915,biblioteca
22,Biblioteca del Museo Virreinal,118,Zinacantepec,-99.73547,19.28343,biblioteca
23,"Biblioteca UVM, Campus Lago de Guadalupe",121,Cuautitlán Izcalli,-99.24095,19.63397,biblioteca
24,Biblioteca Campo 4,121,Cuautitlán Izcalli,-99.19102,19.69023,biblioteca
25,Biblioteca de la FES Cuautitlán Campo 1,121,Cuautitlán Izcalli,-99.20804,19.63667,biblioteca
26,Biblioteca del Tecnológico Universitario del Valle de Chalco,122,Valle de Chalco Solidaridad,-98.94594,19.27932,biblioteca
27,"Tienda de Artesanías CASART, San Martín de las Pirámides",0,Total de la entidad México,-98.83376,19.70504,casa artesania
28,Casa de Artesanías de Acambay,1,Acambay de Ruíz Castañeda,0.0,0.0,casa artesania
29,Artesanías Nezahualcóyotl,58,Nezahualcóyotl,-99.00126,19.411,casa artesania
30,"Tienda de Artesanías CASART, Otumba",65,Otumba,-98.7575,19.69985,casa artesania
31,"Tienda de Artesanías CASART, Tenancingo",88,Tenancingo,-99.5851,18.96391,casa artesania
32,"Tienda de Artesanías CASART Texcoco, Casa del Constituyente",99,Texcoco,-98.88052,19.51375,casa artesania
33,"Tienda de Artesanías CASART, Texcoco (Centro Cultural Mexiquense Bicentenario)",99,Texcoco,-98.89807,19.45341,casa artesania
34,"Tienda de Artesanías CASART, Parque de la Ciencia Fundadores",106,Toluca,-99.65517,19.29397,casa artesania
35,Tienda de Artesanías CASART Aeropuerto Internacional de Toluca,106,Toluca,-99.57096,19.33856,casa artesania
36,"Tienda de Artesanías CASART, Chalco",106,Toluca,-98.8996,19.26339,casa artesania
37,"Tienda de Artesanías CASART, Toluca",106,Toluca,-99.63782,19.28541,casa artesania
38,"Tienda de Artesanías CASART, Museo Torres Bicentenario",106,Toluca,-99.62911,19.28778,casa artesania
39,Casa de Artesanías de Valle de Bravo,110,Valle de Bravo,0.0,0.0,casa artesania
40,San Francisco de Asis,14,Atlacomulco,-99.8705,19.8012,catedral
41,San Buenaventura,24,Cuautitlán,-99.17939,19.66907,catedral
42,Sagrado Corazón de Jesús,33,Ecatepec de Morelos,-99.04665,19.59951,catedral
43,Jesús Señor de la Misericordia,58,Nezahualcóyotl,-99.00063,19.40929,catedral
44,Corpus Cristi,104,Tlalnepantla de Baz,-99.19483,19.5379,catedral
45,San José,106,Toluca,-99.65725,19.29182,catedral
46,Centro Regional de Cultura de Acambay Dr. Maximiliano Ruiz Castañeda,1,Acambay de Ruíz Castañeda,-99.84527,19.95399,centros culturales
47,Casa de Cultura Aculmaitl,2,Acolman,-98.91201,19.63406,centros culturales
48,Casa de Cultura Aculco,3,Aculco,-99.8274,20.09893,centros culturales
49,Casa de Cultura Lic. César Camacho Quiroz,4,Almoloya de Alquisiras,0.0,0.0,centros culturales
50,Casa de Cultura Ignacio Manuel Altamirano,6,Almoloya del Río,-99.48889,19.15949,centros culturales
51,Casa de Cultura Ricardo García Álvarez,7,Amanalco,0.0,0.0,centros culturales
52,Casa de Cultura Municipal Profr. Enrique Gómez García,8,Amatepec,-100.18722,18.68456,centros culturales
53,Casa del Pueblo Amecameca,9,Amecameca,-98.77535,19.13204,centros culturales
54,Centro Regional de Cultura de Apaxco,10,Apaxco,-99.1746,19.97633,centros culturales
55,Centro Cultural Atenco José Enrique Espinoza Suárez,11,Atenco,-98.91674,19.55239,centros culturales
56,Casa de la Cultura Agua Blanca,12,Atizapán,0.0,0.0,centros culturales
57,Centro Regional de Cultura Atizapán de Zaragoza Lic. Adolfo López Mateos,13,Atizapán de Zaragoza,-99.23553,19.57263,centros culturales
58,Centro Cultural La Cuadra de Luis Barragán,13,Atizapán de Zaragoza,-99.22586,19.57548,centros culturales
59,Centro Cultural Calacoaya,13,Atizapán de Zaragoza,-99.235,19.54317,centros culturales
60,Centro Regional de Cultura de Atlacomulco Lic. Isidro Fabela,14,Atlacomulco,-99.87377,19.79849,centros culturales
61,Casa de Cultura Atlauhpanecatl,15,Atlautla,0.0,0.0,centros culturales
62,Casa de Cultura Toltecapan,16,Axapusco,0.0,0.0,centros culturales
63,Casa Cultura Aquiauhtzin,17,Ayapango,-98.80132,19.12639,centros culturales
64,Casa de Cultura de Calimaya,18,Calimaya,-99.61861,19.16323,centros culturales
65,Casa de Cultura Leona Vicario,19,Capulhuac,0.0,0.0,centros culturales
66,Casa de Cultura Calmecac,20,Coacalco de Berriozábal,0.0,0.0,centros culturales
67,Centro Cultural Baálamk'aan House Theater,20,Coacalco de Berriozábal,-99.10657,19.63405,centros culturales
68,Casa de la Cultura Coatepec Harinas,21,Coatepec Harinas,0.0,0.0,centros culturales
69,Casa de Cultura Cocotli,22,Cocotitlán,-98.86565,19.23612,centros culturales
70,Casa de Cultura Nezahualcóyotl,23,Coyotepec,0.0,0.0,centros culturales
71,Casa de la Cultura Luis Nishizawa Flores,24,Cuautitlán,-99.1812,19.6683,centros culturales
72,Centro Regional de Cultura de Chalco Chimalpahín,25,Chalco,-98.89978,19.26402,centros culturales
73,Casa de Cultura Lic. Julián Díaz Arias,27,Chapultepec,0.0,0.0,centros culturales
74,Casa de Cultura Chiautla,28,Chiautla,0.0,0.0,centros culturales
75,Casa de la Cultura Chicoloapan,29,Chicoloapan,0.0,0.0,centros culturales
76,Casa de Cultura Chiconcuac,30,Chiconcuac,0.0,0.0,centros culturales
77,Casa de Cultura Chimalhuacán,31,Chimalhuacán,-98.9456,19.41813,centros culturales
78,Casa de Cultura Lic. Adolfo López Mateos,32,Donato Guerra,-100.14325,19.30842,centros culturales
79,Centro Cultural del ISSSTE de Ecatepec,33,Ecatepec de Morelos,-99.05169,19.56528,centros culturales
80,Centro Regional de Cultura de Ecatepec José María Morelos y Pavón,33,Ecatepec de Morelos,-99.04759,19.59958,centros culturales
81,Centro Cultural y Recreativo de Ecatepec,33,Ecatepec de Morelos,-99.04497,19.51207,centros culturales
82,Casa de Cultura Pedro Patiño Ixtolique,34,Ecatzingo,0.0,0.0,centros culturales
83,Centro Socio Cultural El Dorado,35,Huehuetoca,-99.2032,19.88451,centros culturales
84,Centro Socio Cultural Josefa Ortiz de Domínguez,35,Huehuetoca,-99.18415,19.82162,centros culturales
85,Centro Socio Cultural de Artes José Pablo Moncayo,35,Huehuetoca,-99.21887,19.83369,centros culturales
86,Casa de Cultura Fernando de Alba Ixtlilxóchitl,36,Hueypoxtla,-99.07832,19.90782,centros culturales
87,Casa de Cultura El Jagüey,37,Huixquilucan,-99.3046,19.38479,centros culturales
88,Casa de Cultura Sor Juana Inés de la Cruz,37,Huixquilucan,-99.34092,19.35765,centros culturales
89,Casa de Cultura Isidro Fabela,38,Isidro Fabela,-99.41833,19.55554,centros culturales
90,Casa de la Cultura Ixtapaluca,39,Ixtapaluca,-98.88401,19.31482,centros culturales
91,Casa de Cultura Químico José Donaciano Morales y Mier Altamirano,42,Ixtlahuaca,-99.76784,19.56908,centros culturales
92,Casa de Cultura Químico José Donaciano Morales y Mier Altamirano,42,Ixtlahuaca,-99.76917,19.56981,centros culturales
93,Casa de Cultura Sor Juana Inés de la Cruz,43,Xalatlaco,0.0,0.0,centros culturales
94,Casa de Cultura El Capulín,44,Jaltenco,0.0,0.0,centros culturales
95,Casa de Cultura Mtra. Amalia Márquez Padilla,45,Jilotepec,0.0,0.0,centros culturales
96,Casa de Cultura Sor Juana Inés de la Cruz,47,Jiquipilco,0.0,0.0,centros culturales
97,Casa de Cultura Lic. Diego de Nájera Yanguas,48,Jocotitlán,-99.7862,19.71051,centros culturales
98,Casa de Cultura Ángel Zamora Espinosa,50,Juchitepec,-98.88124,19.0988,centros culturales
99,Casa de Cultura Profr. Adrián Ortega Monroy,51,Lerma,-99.515,19.28684,centros culturales
100,Casa de Cultura Malinalxóchitl,52,Malinalco,0.0,0.0,centros culturales
101,Casa de Cultura Maximiano Sánchez y Pérez,53,Melchor Ocampo,-99.1468,19.69868,centros culturales
102,Casa de Cultura de Metepec,54,Metepec,0.0,0.0,centros culturales
103,Casa Tunastral,54,Metepec,-99.59714,19.25286,centros culturales
104,Casa de Cultura de Mexicaltzingo,55,Mexicaltzingo,-99.58863,19.20814,centros culturales
105,Casa de Cultura Hemeterio Valverde y Téllez,56,Morelos,0.0,0.0,centros culturales
106,Centro Cultural Acatlán,57,Naucalpan de Juárez,-99.24827,19.48537,centros culturales
107,Casa de Cultura Parque Naucalli,57,Naucalpan de Juárez,-99.24208,19.49157,centros culturales
108,Casa de Cultura Chamapa,57,Naucalpan de Juárez,0.0,0.0,centros culturales
109,Centro Cultural Ágora,57,Naucalpan de Juárez,0.0,0.0,centros culturales
110,Casa de Cultura Valle de Aragón,58,Nezahualcóyotl,-99.05247,19.48834,centros culturales
111,Casa de Cultura Metropolitana Maestro Roberto Ruiz,58,Nezahualcóyotl,-99.03452,19.39602,centros culturales
112,Centro Cultural Municipal Dr. Jaime Torres Bodet,58,Nezahualcóyotl,-99.01051,19.40482,centros culturales
113,Centro Cultural El Castillito,58,Nezahualcóyotl,-99.00787,19.40412,centros culturales
114,Casa de la Cultura Ciudad Lago Epitacio Álvarez de León,58,Nezahualcóyotl,-99.04766,19.45474,centros culturales
115,Casa de Cultura Bosques de Aragón Mauricio García Vega,58,Nezahualcóyotl,-99.05104,19.47331,centros culturales
116,Casa Maha Foro Cultural,58,Nezahualcóyotl,0.0,0.0,centros culturales
117,Centro Cultural Casa Las 2 Fridas,58,Nezahualcóyotl,-98.99499,19.38692,centros culturales
118,Centro Cultural Nezahualcóyotl,58,Nezahualcóyotl,-99.03326,19.42127,centros culturales
119,Casa de Cultura Metropolitana,58,Nezahualcóyotl,-99.0343,19.39579,centros culturales
120,Casa de Cultura Ciudad Lago,58,Nezahualcóyotl,-99.0476,19.4548,centros culturales
121,Casa de Cultura Las Águilas,58,Nezahualcóyotl,-98.99771,19.38404,centros culturales
122,Casa de Cultura Campestre Guadalupana,58,Nezahualcóyotl,-99.05189,19.48568,centros culturales
123,Casa de Cultura Bosques de Aragón,58,Nezahualcóyotl,-99.05087,19.47316,centros culturales
124,Centro Cultural El Castillito,58,Nezahualcóyotl,-99.00965,19.40325,centros culturales
125,Centro Cultural Municipal Dr. Jaime Torres Bodet,58,Nezahualcóyotl,-99.01073,19.40408,centros culturales
126,Centro Cultural Aragón UNAM,58,Nezahualcóyotl,0.0,0.0,centros culturales
127,Centro Cultural del ISSSTE Nezahualcóyotl,58,Nezahualcóyotl,0.0,0.0,centros culturales
128,Centro Regional de Cultura de Nezahualcóyotl,58,Nezahualcóyotl,0.0,0.0,centros culturales
129,Módulo Cultural Multifuncional Nezahualcóyotl,58,Nezahualcóyotl,-99.01935,19.42315,centros culturales
130,Casa de Cultura Rey Neza,58,Nezahualcóyotl,-98.98338,19.39911,centros culturales
131,Centro Municipal de Artes Aplicadas,58,Nezahualcóyotl,-99.03012,19.43027,centros culturales
132,Casa de Cultura Campestre Guadalupana Lic. Prospero Domínguez Trejo,58,Nezahualcóyotl,-99.05162,19.48523,centros culturales
133,Casa de Cultura Valle de Aragón Pedro Martinez Osorio,58,Nezahualcóyotl,-99.05229,19.48887,centros culturales
134,Casa de Cultura Unidad Rey Neza Maestro Urbano Cruz Morales,58,Nezahualcóyotl,-98.98325,19.39922,centros culturales
135,Casa de Cultura Toltecalli,59,Nextlalpan,-99.07844,19.73367,centros culturales
136,Casa de Cultura Cualcalli,59,Nextlalpan,-99.05117,19.72375,centros culturales
137,Casa de Cultura Carlos Castillo Peraza,60,Nicolás Romero,0.0,0.0,centros culturales
138,Casa de Cultura Nicolás Romero La Colmena,60,Nicolás Romero,0.0,0.0,centros culturales
139,Centro Cultural Atelier de Arte 18,60,Nicolás Romero,-99.29341,19.60876,centros culturales
140,Casa de Cultura del Pueblo de Barrón,60,Nicolás Romero,0.0,0.0,centros culturales
141,Casa de Cultura María Elena Vásquez,61,Nopaltepec,-98.70955,19.77928,centros culturales
142,Centro Regional de Cultura de Ocoyoacac,62,Ocoyoacac,-99.46121,19.27249,centros culturales
143,Unidad Cultural de Ocuilán,63,Ocuilan,0.0,0.0,centros culturales
144,Casa de Cultura Abraham Ángel,64,El Oro,0.0,0.0,centros culturales
145,Casa Regional de Cultura y Casa Museo Gonzalo Carrasco,65,Otumba,0.0,0.0,centros culturales
146,Centro Regional de Cultura de Otumba,65,Otumba,-98.7575,19.69985,centros culturales
147,Casa de Cultura Hermanos Flores Magón,66,Otzoloapan,0.0,0.0,centros culturales
148,Casa de Cultura Ocelotl,67,Otzolotepec,0.0,0.0,centros culturales
149,Casa de Cultura José Antonio Arzate,68,Ozumba,0.0,0.0,centros culturales
150,Casa de Cultura Papalotla,69,Papalotla,-98.858,19.56389,centros culturales
151,Casa de Cultura Municipal de Papalotla,69,Papalotla,-98.85806,19.56338,centros culturales
152,Centro de Artes y Oficios Carmen Serdán Alatriste,70,La Paz,-98.97956,19.35378,centros culturales
153,Centro Comunitario Cultural Ciudad Retoño,70,La Paz,-98.98238,19.36871,centros culturales
154,Casa de Cultura La Paz,70,La Paz,0.0,0.0,centros culturales
155,Casa de Cultura Polotitlán,71,Polotitlán,0.0,0.0,centros culturales
156,Casa de Cultura Profr. José Copula Moreno,72,Rayón,0.0,0.0,centros culturales
157,Casa de Cultura Profr. Jesús Gómez Nava,74,San Felipe del Progreso,-99.95369,19.71369,centros culturales
158,Casa de Cultura Neteotiloyan,75,San Martín de las Pirámides,-98.82946,19.70744,centros culturales
159,Casa de Cultura Profra. Rosa Nava de López,76,San Mateo Atenco,0.0,0.0,centros culturales
160,Casa de Cultura San Mateo Atenco,76,San Mateo Atenco,-99.52751,19.26511,centros culturales
161,Casa de Cultura Cuitepec San Simón de Guerrero,77,San Simón de Guerrero,-100.00736,19.02315,centros culturales
162,Casa de Cultura Santiago Santa Ana,78,Santo Tomás,0.0,0.0,centros culturales
163,Casa de Cultura Soyaniquilpan de Juárez,79,Soyaniquilpan de Juárez,0.0,0.0,centros culturales
164,Casa de Cultura Dr. José María Coss,80,Sultepec,0.0,0.0,centros culturales
165,Casa de Cultura Felipe Villanueva,81,Tecámac,-98.97331,19.71272,centros culturales
166,Centro Regional de Cultura de Tejupilco,82,Tejupilco,-100.14739,18.89669,centros culturales
167,Casa de Cultura In Acatlixhuayan In Temamatzolli,83,Temamatla,-98.86988,19.2028,centros culturales
168,Casa de Cultura Temazcalli,84,Temascalapa,-98.86334,19.84281,centros culturales
169,Centro Regional de Cultura José María Velasco,85,Temascalcingo,0.0,0.0,centros culturales
170,Centro Regional de Cultura de Temascalcingo José Ma. Velasco,85,Temascalcingo,-100.00245,19.91736,centros culturales
171,Casa de Cultura 2 de Marzo,87,Temoaya,0.0,0.0,centros culturales
172,Centro Regional de Cultura de Tenancingo Joaquín Solache Monroy,88,Tenancingo,-99.58517,18.96393,centros culturales
173,Casa de Cultura Ollin Coatl,89,Tenango del Aire,0.0,0.0,centros culturales
174,Centro Cultural León Guzmán,90,Tenango del Valle,-99.59155,19.10412,centros culturales
175,Casa de Cultura Narciso Bassols,90,Tenango del Valle,-99.59409,19.09921,centros culturales
176,Casa de Cultura Teohuilloyocan,91,Teoloyucan,-99.18471,19.747,centros culturales
177,Casa de Cultura Ing. Heberto Castillo,92,Teotihuacán,-98.86698,19.68464,centros culturales
178,Casa de Cultura Rosario de la Peña,94,Tepetlixpa,-458.81871,19.02977,centros culturales
179,Centro Regional de Cultura Nepantla Sor Juana Inés de la Cruz,94,Tepetlixpa,-98.84112,18.97876,centros culturales
180,Casa de Cultura de Tepotzotlán,95,Tepotzotlán,-99.22396,19.71464,centros culturales
181,Casa de Cultura Tequixquiac,96,Tequixquiac,0.0,0.0,centros culturales
182,Centro de Desarrollo Social Integral,96,Tequixquiac,-99.14896,19.91036,centros culturales
183,Centro Municipal de Arte y Cultura de Texcalyacac,98,Texcalyacac,0.0,0.0,centros culturales
184,Centro Cultural del ISSSTE de Chapingo,99,Texcoco,0.0,0.0,centros culturales
185,Centro Regional de Cultura de Texcoco Casa del Constituyente,99,Texcoco,-98.87974,19.51379,centros culturales
186,Centro Cultural Mexiquense Bicentenario,99,Texcoco,-98.89953,19.45251,centros culturales
187,Casa de Cultura Tezoyuca Nahui Olin,100,Tezoyuca,-98.9063,19.59127,centros culturales
188,Casa de Cultura Profr. Carlos Hank González,101,Tianguistenco,-99.46745,19.18407,centros culturales
189,Módulo Cultural Multifuncional Santiago Tianguistenco,101,Tianguistenco,-99.51751,19.19658,centros culturales
190,Casa de Cultura Lic. Adolfo López Mateos,102,Timilpan,-99.73401,19.8752,centros culturales
191,Casa de Cultura Xochipilli,103,Tlalmanalco,-98.8033,19.20593,centros culturales
192,Centro de la Cultura y las Artes José Emilio Pacheco,104,Tlalnepantla de Baz,-99.19574,19.53649,centros culturales
193,Casa de Cultura Pedro Labrada Cervantes,104,Tlalnepantla de Baz,-99.08512,19.5316,centros culturales
194,Casa de Cultura Lázaro Cárdenas,104,Tlalnepantla de Baz,-99.11942,19.53437,centros culturales
195,Casa de Cultura José María Velasco,104,Tlalnepantla de Baz,-99.21174,19.5708,centros culturales
196,Casa de Cultura Luis Donaldo Colosio,104,Tlalnepantla de Baz,-99.18746,19.57206,centros culturales
197,Casa de Cultura Sor Juana Inés de la Cruz,104,Tlalnepantla de Baz,0.0,0.0,centros culturales
198,Casa de Cultura Lic. Javier Pérez Olegaray,104,Tlalnepantla de Baz,-99.18502,19.5524,centros culturales
199,Casa de Cultura El Arenal,104,Tlalnepantla de Baz,-99.16408,19.53008,centros culturales
