id,nombre,municipio_id,nombre_municipio,longitud,latitud,tipo
200,Casa de Cultura José C. Ángeles,104,Tlalnepantla de Baz,-99.0887,19.51612,centros culturales
201,Casa de Cultura Lomas de San Andrés,104,Tlalnepantla de Baz,-99.22721,19.54295,centros culturales
202,Casa de Cultura San Felipe Ixtacala,104,Tlalnepantla de Baz,-99.17136,19.52161,centros culturales
203,Casa de Cultura Prado Vallejo,104,Tlalnepantla de Baz,-99.16581,19.50594,centros culturales
204,Casa de Cultura Guillermo Padilla Díaz de León,104,Tlalnepantla de Baz,-99.17366,19.55109,centros culturales
205,Centro Cultural Iztacala,104,Tlalnepantla de Baz,0.0,0.0,centros culturales
206,Casa de Cultura Izcalli Pirámide,104,Tlalnepantla de Baz,-99.17432,19.54222,centros culturales
207,Centro Cultural Rombo Negro,104,Tlalnepantla de Baz,-99.195,19.53852,centros culturales
208,Casa de Cultura Loma Bonita (Temporalmente cerrado),104,Tlalnepantla de Baz,-99.17836,19.55936,centros culturales
209,Casa de Cultura San Lucas Tepetlacalco (Temporalmente cerrado),104,Tlalnepantla de Baz,-99.22711,19.52434,centros culturales
210,Casa de Cultura Vista Hermosa,104,Tlalnepantla de Baz,-99.22293,19.51843,centros culturales
211,Centro Tolzú,106,Toluca,-99.65236,19.29028,centros culturales
212,Centro Toluqueño de Escritores,106,Toluca,-99.65605,19.29122,centros culturales
213,Centro Regional de Cultura de Toluca,106,Toluca,-99.65369,19.27205,centros culturales
214,Alianza Francesa de Toluca,106,Toluca,-99.65938,19.29162,centros culturales
215,Centro Cultural del ISSSTE de Toluca,106,Toluca,-99.67005,19.29045,centros culturales
216,Centro de Actividades Culturales (CEAC),106,Toluca,-99.65159,19.28634,centros culturales
217,Centro Cultural Universitario Casa de las Diligencias,106,Toluca,-99.65431,19.29183,centros culturales
218,Casa de Cultura de Cacalomacán,106,Toluca,-99.7081,19.25369,centros culturales
219,Centro Cultural Mexiquense,106,Toluca,-99.70252,19.27197,centros culturales
220,Centro Cultural Tonatiuh,107,Tonatico,-99.67076,18.80207,centros culturales
221,Casa de Cultura Reynalda Morales,107,Tonatico,-99.67083,18.80202,centros culturales
222,Casa de Cultura Víctor Manuel Urbán Velazco,108,Tultepec,0.0,0.0,centros culturales
223,Casa de Cultura Tultitlán,109,Tultitlán,-99.16456,19.64379,centros culturales
224,Centro Cultural Ágora Elena Poniatowska,109,Tultitlán,-99.09313,19.67412,centros culturales
225,Casa de Cultura y Biblioteca Real del Bosque,109,Tultitlán,-99.14063,19.61654,centros culturales
226,Centro Regional de Cultura Joaquín Arcadio Pagaza,110,Valle de Bravo,0.0,0.0,centros culturales
227,Casa de Cultura Attezi,111,Villa de Allende,0.0,0.0,centros culturales
228,Casa de la Cultura Dr. Jorge Jiménez Cantú,112,Villa del Carbón,0.0,0.0,centros culturales
229,Casa de Cultura Tecualoyan,113,Villa Guerrero,-99.64233,18.9621,centros culturales
230,Casa de Cultura Miguel Ángel Martínez,114,Villa Victoria,0.0,0.0,centros culturales
231,Casa del Pueblo,114,Villa Victoria,0.0,0.0,centros culturales
232,Casa de Cultura Xonacatlán,115,Xonacatlán,0.0,0.0,centros culturales
233,Casa de la Cultura Sor Juana Inés de la Cruz,116,Zacazonapan,-100.25554,19.07078,centros culturales
234,Casa de la Cultura Joaquín Velázquez Cárdenas y León,117,Zacualpan,-99.77493,18.72368,centros culturales
235,Casa de Cultura Matilde Zuñiga,118,Zinacantepec,0.0,0.0,centros culturales
236,Casa de la Cultura Wenceslao Labra,120,Zumpango,-99.10123,19.79969,centros culturales
237,Centro Regional de Cultura de Cuautitlán Izcalli,121,Cuautitlán Izcalli,-99.20536,19.6581,centros culturales
238,Casa de Cultura de Tononitla,125,Tonanitla,-99.05064,19.68721,centros culturales
239,Fonoteca del Sistema de Radio y Televisión Mexiquense,54,Metepec,0.0,0.0,fonoteca
240,Fototeca del Centro de Documentación e Investigación de la Comunidad Judío de México,57,Naucalpan de Juárez,-99.23821,19.42323,fototeca
241,Fototeca del Centro de Estudios Teotihuacanos,75,San Martín de las Pirámides,-98.86082,19.71209,fototeca
242,Fototeca del Museo Nacional del Virreinato,95,Tepotzotlán,-99.22166,19.71318,fototeca
243,Fototeca del Centro INAH Estado de México (CINAHEM),106,Toluca,-99.65831,19.28977,fototeca
244,Galería del Centro Regional de Cultura Atizapán de Zaragoza,13,Atizapán de Zaragoza,-99.23544,19.57215,galeria
245,Galeria de Arte del Genoma Mesoamericano,33,Ecatepec de Morelos,-99.05199,19.59686,galeria
246,"Galería de la Alianza Francesa, Suc. Interlomas",37,Huixquilucan,-99.26934,19.40277,galeria
247,Galería de Arte y Antiguedades Tarentum,37,Huixquilucan,-99.27008,19.40219,galeria
248,Recoleta Gouda Art Gallery,37,Huixquilucan,-99.27047,19.40121,galeria
249,Galería Bertozzi,37,Huixquilucan,-99.28156,19.40385,galeria
250,Sala de Exposición Xochipilli,39,Ixtapaluca,-98.88408,19.31729,galeria
251,Galería Leopoldo Flores,42,Ixtlahuaca,-99.75453,19.57291,galeria
252,Galería Andrés Molina,52,Malinalco,-99.50096,18.95215,galeria
253,"MONOMONO, Galería de Arte y Estudio",54,Metepec,-99.61049,19.25835,galeria
254,Galería Carlos & Albert Metepec,54,Metepec,-99.60572,19.26699,galeria
255,Galería de Arte,54,Metepec,-99.59137,19.2503,galeria
256,Sala de Arte Emma Rizo,57,Naucalpan de Juárez,-99.24713,19.48418,galeria
257,Sala de Arte Javier Barros Sierra,57,Naucalpan de Juárez,-99.24741,19.4844,galeria
258,Casa de Arte y Galería ÓLEO,57,Naucalpan de Juárez,-99.25021,19.51723,galeria
259,Galería Taquera,58,Nezahualcóyotl,-99.01594,19.40859,galeria
260,Galería José Luis Cuevas,104,Tlalnepantla de Baz,-99.19575,19.53642,galeria
261,"Galería de Arte del Tecnológico de Monterrey, campus Toluca",106,Toluca,-99.70635,19.27001,galeria
262,Galería Universitaria Fernando Cano,106,Toluca,-99.65365,19.28586,galeria
263,Galería de arte de la plaza González Arratia,106,Toluca,-99.65783,19.291,galeria
264,Tollocan Galería,106,Toluca,-99.67332,19.28035,galeria
265,Galería Cafetería,106,Toluca,-99.7032,19.27163,galeria
266,Galería Arte AIT,106,Toluca,-99.56874,19.33411,galeria
267,Galeria Tatiana H. Rajkov,110,Valle de Bravo,-100.12381,19.1637,galeria
268,Victoria Gallery,110,Valle de Bravo,-100.13017,19.18957,galeria
269,Galería Venado Azul,110,Valle de Bravo,-100.12874,19.1898,galeria
270,Arthouse Gallery,110,Valle de Bravo,-100.12841,19.18825,galeria
271,Museo Regional de Acambay Antonio Ruiz Pérez,1,Acambay de Ruíz Castañeda,-99.84583,19.95528,museo
272,Museo Virreinal de Acolman,2,Acolman,-98.91309,19.63218,museo
273,Museo Prehistórico de Tepexpan,2,Acolman,-98.9474,19.61377,museo
274,Museo de Sor Juana Inés de la Cruz,9,Amecameca,-98.77167,19.14163,museo
275,Museo Internacional de los Volcanes,9,Amecameca,-98.7726,19.14051,museo
276,Museo de Historia Natural de Casa del Pueblo Amecameca,9,Amecameca,-98.77551,19.13211,museo
277,Museo Arqueológico Apaxco,10,Apaxco,-99.17455,19.97585,museo
278,Museo Adolfo López Mateos,13,Atizapán de Zaragoza,-99.24807,19.56311,museo
279,Museo Isidro Fabela,14,Atlacomulco,-99.87367,19.79841,museo
280,Museo Histórico de Atlacomulco,14,Atlacomulco,-99.8805,19.79843,museo
281,Museo Paleontológico Comunitario de la Magdalena Huizachitla,20,Coacalco de Berriozábal,-99.08886,19.63482,museo
282,"Santuario de la Siempre Virgen María de Guadalupe, Casa de San Juan Diego",24,Cuautitlán,-99.19189,19.66826,museo
283,Casa Museo de Cartonería,25,Chalco,-98.93202,19.21113,museo
284,Museo del Centro Regional de Cultura de Chalco Chimalpahin,25,Chalco,-98.89952,19.26293,museo
285,Museo Comunitario del Pueblo de Tezompa,25,Chalco,-98.96121,19.20671,museo
286,Planetario Digital de Chimalhuacán,31,Chimalhuacán,-98.96232,19.40758,museo
287,Museo de Sitio de Chimalhuacán,31,Chimalhuacán,-98.94726,19.41786,museo
288,Museo Municipal Canto del Cincel,31,Chimalhuacán,-98.98388,19.41924,museo
289,Museo Chimaltonalli,31,Chimalhuacán,-98.94407,19.41945,museo
290,"Planetario El Gran Ehécatl, Los Hijos del Dios del Viento",33,Ecatepec de Morelos,-99.0541,19.59557,museo
291,Museo de la Pluma. Ing. Jesús Humberto Rodríguez Lozano,33,Ecatepec de Morelos,-99.04056,19.51069,museo
292,"Centro Comunitario Ecatepec, Casa de Morelos",33,Ecatepec de Morelos,-99.03565,19.60036,museo
293,Museo de Sitio de Vestigios Arqueológicos del Parque Ecológico Ehécatl,33,Ecatepec de Morelos,-99.0541,19.59557,museo
294,Museo Jurasica,33,Ecatepec de Morelos,-99.05542,19.59379,museo
295,Museo de Historia Natural de Ecatepec,33,Ecatepec de Morelos,-99.03683,19.54688,museo
296,Parque Museo del Ferrocarril de Huehuetoca,35,Huehuetoca,-99.2027,19.83545,museo
297,Museo de Huixquilucan,37,Huixquilucan,-99.34124,19.35803,museo
298,Museo Tlotzin Pochotl,39,Ixtapaluca,-98.8844,19.31492,museo
299,Museo de Sitio de Coatepec,39,Ixtapaluca,-98.84732,19.38531,museo
300,Museo Comunitario Xochiltepetl,50,Juchitepec,-98.88117,19.09858,museo
301,"Zanbatha, Museo del Valle de la Luna",51,Lerma,-99.51022,19.28657,museo
302,Museo Universitario Dr. Luis Mario Schneider,52,Malinalco,-99.50115,18.95084,museo
303,Sala Introductoria a la Zona Arqueológica de Malinalco,52,Malinalco,-99.5034,18.95347,museo
304,Museo del Barro,54,Metepec,-99.60202,19.25019,museo
305,Museo del Agua,57,Naucalpan de Juárez,-99.23986,19.45956,museo
306,Museo Salón Deporte,57,Naucalpan de Juárez,-99.215,19.45754,museo
307,Museo Tlatilca,57,Naucalpan de Juárez,-99.23203,19.47914,museo
308,Museo Nezahualcóyotl Acomiztli,58,Nezahualcóyotl,-99.03341,19.421,museo
309,Museo Arqueológico de Nextlalpan (en proceso de remodelación),59,Nextlalpan,-99.05104,19.72379,museo
310,Museo Textil Industrial de San Ildefonso,60,Nicolás Romero,-99.2956,19.61981,museo
311,Museo Dr. José María Luis Mora,62,Ocoyoacac,-99.4609,19.27427,museo
312,Museo Arqueológico Colonial de Ocuilan,63,Ocuilan,-99.41604,18.97935,museo
313,Museo de la Minería de El Oro,64,El Oro,-100.13284,19.79848,museo
314,Museo del Ferrocarril en Otumba,65,Otumba,-98.75696,19.70877,museo
315,Ex Convento de Oxtotipac,65,Otumba,-98.7927,19.6558,museo
316,Casa Museo Gonzalo Carrasco,65,Otumba,-98.75742,19.69981,museo
317,Museo Municipal Techialoyan Tepemaxalco,73,San Antonio la Isla,-99.56917,19.1641,museo
318,Museo de Murales Teotihuacanos Beatriz de la Fuente,75,San Martín de las Pirámides,-98.8471,19.70039,museo
319,Sala museográfica de la Casa de Cultura Dr. José María Cos,80,Sultepec,-99.96689,18.85786,museo
320,Museo de Sitio de San Miguel Ixtapan,82,Tejupilco,-100.15498,18.807,museo
321,Museo Casa de Madera,89,Tenango del Aire,-98.85558,19.15722,museo
322,Museo Arqueológico Dr. Román Piña Chan,90,Tenango del Valle,-99.59598,19.11048,museo
323,Museo Comunitario Quetzalpapalotl,92,Teotihuacán,-98.86924,19.68346,museo
324,Museo de la Cultura Teotihuacana (museo de sitio),92,Teotihuacán,-98.84957,19.68292,museo
325,Museo Eremitorio de Fray Domingo de Betanzos,93,Tepetlaoxtoc,-98.82467,19.57314,museo
326,Museo-Casa Juana Inés,94,Tepetlixpa,-98.83972,18.98005,museo
327,Museo Nacional del Virreinato,95,Tepotzotlán,-99.22151,19.71338,museo
328,Museo del Centro Cultural Mexiquense Bicentenario,99,Texcoco,-98.89648,19.45188,museo
329,Museo de sitio del Parque Ecológico Lago de Texcoco,99,Texcoco,-98.97872,19.48504,museo
330,Museo del Deporte del Estado de México,99,Texcoco,-98.89817,19.45256,museo
331,Museo de Biología,99,Texcoco,-98.88874,19.48945,museo
332,Museo Regional del Pulque y el Maguey Texcoco,99,Texcoco,-98.88293,19.50666,museo
333,Museo de Geología Dr. José Guadalupe Aguilera Serrano,99,Texcoco,-98.88653,19.49438,museo
334,Museo Nacional de Agricultura,99,Texcoco,-98.88896,19.4921,museo
335,Museo Paleontológico de Tocuila,99,Texcoco,-98.90793,19.52065,museo
336,Museo Comunitario Nonohualca,103,Tlalmanalco,-98.80248,19.20597,museo
337,Museo Xólotl. San Bartolo Tenayuca,104,Tlalnepantla de Baz,-99.16787,19.53239,museo
338,Museo de la Escultura Mexica Eusebio Dávalos Hurtado,104,Tlalnepantla de Baz,-99.17378,19.55243,museo
339,Museo Hacienda de Santa Mónica,104,Tlalnepantla de Baz,-99.23149,19.52884,museo
340,Museo del Heroico Cuerpo de Bomberos Toluca,106,Toluca,-99.63727,19.28726,museo
341,Museo de Ciencias Naturales Edomex.,106,Toluca,-99.66083,19.28318,museo
342,Museo de la Acuarela del Estado de México,106,Toluca,-99.6611,19.28967,museo
343,Museo del Alfeñique,106,Toluca,-99.64988,19.29204,museo
344,Pinacoteca Los Autonomistas,106,Toluca,-99.65364,19.28574,museo
345,Casa Museo Toluca 1920,106,Toluca,-99.66039,19.29032,museo
346,Museo Auditorio PetStar,106,Toluca,-99.71852,19.42012,museo
347,Museo del Paisaje José María Velasco,106,Toluca,-99.6579,19.29302,museo
348,"Museo Gabinetes de Física, Química y Medicina",106,Toluca,-99.66035,19.2735,museo
349,Museo de la Inquisición procesos y torturas,106,Toluca,-99.65438,19.29397,museo
350,Museo del Instituto Pedro Nolasco,106,Toluca,-99.66103,19.28796,museo
351,Museo de Historia Universitaria José María Morelos y Pavón,106,Toluca,-99.65364,19.28578,museo
352,Museo Universitario Leopoldo Flores,106,Toluca,-99.67826,19.28648,museo
353,Planetario Parque de la Ciencia Fundadores,106,Toluca,-99.65523,19.29427,museo
354,Museo Universitario de Historia Natural Manuel M. Villada,106,Toluca,-99.65378,19.28575,museo
355,Museo Galería de Arte Mexiquense Torres Bicentenario,106,Toluca,-99.62933,19.28752,museo
356,Museo de Numismática del Estado de México,106,Toluca,-99.70265,19.273,museo
357,Museo Salón de la Fama del Deportivo Toluca,106,Toluca,-99.66584,19.28764,museo
358,Museo de la Estampa del Estado de México,106,Toluca,-99.6619,19.28912,museo
359,Cosmovitral Jardín Botánico de Toluca,106,Toluca,-99.65371,19.29354,museo
360,Museo de Bellas Artes de Toluca,106,Toluca,-99.65622,19.29431,museo
361,Museo Felipe Santiago Gutiérrez,106,Toluca,-99.65795,19.29326,museo
362,Museo Taller Nishizawa,106,Toluca,-99.65794,19.29354,museo
363,Museo Observatorio Meteorológico Mariano Bárcena,106,Toluca,-99.6534,19.2865,museo
364,Museo de Sitio de Calixtlahuaca,106,Toluca,-99.6945,19.3337,museo
365,Museo Hacienda La Pila,106,Toluca,-99.70169,19.27255,museo
366,Museo de Antropología e Historia,106,Toluca,-99.70165,19.27395,museo
367,Museo de Arte Moderno del Estado de México,106,Toluca,-99.70327,19.27189,museo
368,Museo Nacional de la Pirotecnia (Munapi),108,Tultepec,-99.12833,19.68555,museo
369,Museo Comunitario de Tultitlán,109,Tultitlán,0.0,0.0,museo
370,Museo Arqueológico de Valle de Bravo,110,Valle de Bravo,-100.13002,19.1871,museo
371,Museo Joaquín Arcadio Pagaza,110,Valle de Bravo,-100.13027,19.1924,museo
372,Museo Virreinal de Zinacantepec,118,Zinacantepec,-99.73562,19.28299,museo
373,Museo Paleontológico de Santa Lucía Quinametzin,120,Zumpango,-98.98718,19.73797,museo
374,Museo Militar de Aviación Tte. P.A. José Espinosa Fuentes,120,Zumpango,-98.98063,19.74908,museo
375,Museo de la Brigada de Fusileros Paracaidistas,120,Zumpango,-98.98367,19.72991,museo
376,Museo Comunitario del Valle de Xico,122,Valle de Chalco Solidaridad,-98.93559,19.27411,museo
377,Acueducto del Padre Tembleque,65,Otumba,-98.66236,19.83606,patrimonio humanidad
378,Ciudad Prehispánica de Teotihuacán,92,Teotihuacán,-98.84584,19.69383,patrimonio humanidad
379,"Foro La Esperanza, Casa del Pueblo",9,Amecameca,-98.77551,19.13211,teatro
380,Teatro del Pueblo,14,Atlacomulco,-99.87327,19.79862,teatro
381,Teatro Auditorio Humberto Vidal Mendoza,31,Chimalhuacán,-98.98445,19.41804,teatro
382,Centro de Artes José Pablo Moncayo,35,Huehuetoca,-99.21889,19.83381,teatro
383,Teatro del Parque Interlomas,37,Huixquilucan,0.0,0.0,teatro
384,Foro Cultural Tiempo y Espacio Thaay,51,Lerma,-99.51163,19.28555,teatro
385,Teatro Municipal 'Malinalxóchitl',52,Malinalco,-99.49668,18.94976,teatro
386,Teatro Metepec,54,Metepec,-99.60486,19.26407,teatro
387,Teatro Cuauhtémoc IMSS Naucalpan,57,Naucalpan de Juárez,-99.23062,19.47475,teatro
388,Teatro Javier Barros Sierra,57,Naucalpan de Juárez,-99.24844,19.48564,teatro
389,Teatro de la Ciudad Bicentenario,57,Naucalpan de Juárez,-99.23389,19.47754,teatro
390,Foro Felipe Villanueva,57,Naucalpan de Juárez,-99.241,19.4946,teatro
391,Soñario Teatro,58,Nezahualcóyotl,-99.02475,19.40748,teatro
392,Teatro Centenario,60,Nicolás Romero,-99.31666,19.6231,teatro
393,Teatro Juárez,64,El Oro,0.0,0.0,teatro
394,Teatro Sor Juana Ines de la Cruz,76,San Mateo Atenco,-99.52782,19.26476,teatro
395,Teatro Principal Abundio Gómez,90,Tenango del Valle,-99.59161,19.10403,teatro
396,Teatro al Aire Libre El Caracol,94,Tepetlixpa,0.0,0.0,teatro
397,Teatro al Aire Libre del Centro Regional de Cultura de Texcoco,99,Texcoco,-98.87975,19.51373,teatro
398,Teatro al Aire Libre del Centro Cultural Mexiquense Bicentenario,99,Texcoco,-98.89666,19.45166,teatro
399,Teatro Elisa Carrillo,99,Texcoco,-98.89705,19.45206,teatro
400,Teatro Lupita,101,Tianguistenco,-99.4656,19.18659,teatro
401,Foro al aire libre Algarabía,104,Tlalnepantla de Baz,-99.19458,19.53686,teatro
402,Teatro Centenario,104,Tlalnepantla de Baz,-99.20428,19.53869,teatro
403,Teatro Eugenia León,104,Tlalnepantla de Baz,-99.19303,19.53647,teatro
404,Teatro Santa Cecilia,104,Tlalnepantla de Baz,-99.17425,19.55415,teatro
405,"Foro teatral Alberto Antonio Salgado Barrientos, Facultad de Humanidades",106,Toluca,-99.67744,19.27968,teatro
406,Teatro Morelos,106,Toluca,-99.65924,19.29207,teatro
407,Teatro Sor Juana Inés de la Cruz,106,Toluca,-99.64693,19.28962,teatro
408,Teatro Universitario Los Jaguares,106,Toluca,-99.65954,19.28588,teatro
409,Teatro Universitario de Cámara Esvón Gamaliel,106,Toluca,0.0,0.0,teatro
410,Cine Teatro Tonatiuh,107,Tonatico,-99.67091,18.80196,teatro
411,Teatro San Benito Abad,121,Cuautitlán Izcalli,-99.2398,19.6356,teatro
412,Huamango,1,Acambay de Ruíz Castañeda,-99.86596,19.97916,zona arqueologica
413,Chimalhuacán,31,Chimalhuacán,-98.94708,19.41816,zona arqueologica
414,Acozac Ixtapaluca,39,Ixtapaluca,-98.88417,19.3131,zona arqueologica
415,Tlapacoya,39,Ixtapaluca,-98.91287,19.30182,zona arqueologica
416,Malinalco,52,Malinalco,-99.50294,18.95321,zona arqueologica
417,El Conde,57,Naucalpan de Juárez,-99.23102,19.47055,zona arqueologica
418,Ocoyoacac,62,Ocoyoacac,-99.47189,19.28254,zona arqueologica
419,Los Reyes La Paz,70,La Paz,-98.98357,19.3525,zona arqueologica
420,San Miguel Ixtapan,82,Tejupilco,-100.15489,18.80661,zona arqueologica
421,Teotenango,90,Tenango del Valle,-99.59764,19.10845,zona arqueologica
422,Teotihuacán,92,Teotihuacán,-98.84599,19.69314,zona arqueologica
423,Tetzcotzinco,99,Texcoco,-98.81791,19.49701,zona arqueologica
424,Tocuila (cerrado temporalmente),99,Texcoco,-98.90794,19.52047,zona arqueologica
425,Huexotla,99,Texcoco,-98.87187,19.47723,zona arqueologica
426,Los Melones,99,Texcoco,-98.88135,19.50878,zona arqueologica
427,Tenayuca II,104,Tlalnepantla de Baz,-99.16933,19.53504,zona arqueologica
428,Tenayuca,104,Tlalnepantla de Baz,-99.16848,19.53213,zona arqueologica
429,Santa Cecilia Acatitlán,104,Tlalnepantla de Baz,-99.17345,19.55266,zona arqueologica
430,Calixtlahuaca,106,Toluca,-99.69299,19.33374,zona arqueologica
